"horas_do_dia","transacoes","classificador"
0.0,491.72,0
0.0,23.40,0
0.0,80.14,0
0.0,19.69,0
0.0,62.85,0
0.0,148.43,0
0.0,70.60,0
0.0,17.25,0
0.0,45.90,0
0.0,44.20,0
0.0,356.95,0
0.0,204.52,0
0.0,552.18,0
0.0,149.79,0
0.0,18.37,0
0.0,35.54,0
0.0,1.53,0
0.0,1055.12,0
0.0,29.89,0
0.0,40.52,0
0.0,24.55,0
0.0,3.84,0
0.0,379.63,0
0.0,76.18,0
0.0,32.38,0
0.0,215.18,0
0.0,45.42,0
0.0,201.43,0
0.0,80.53,0
0.0,53.02,0
0.0,9.08,0
0.0,4.51,0
0.0,411.88,0
0.0,142.13,0
0.0,67.97,0
0.0,4.64,0
0.0,71.69,0
0.0,375.00,0
0.0,26.50,0
0.0,25.03,0
0.0,119.21,0
0.0,421.50,0
0.0,144.25,0
0.0,28.03,0
0.0,322.44,0
0.0,144.00,0
0.0,42.13,0
0.0,229.90,0
0.0,93.15,0
0.0,89.90,0
0.0,1127.78,0
0.0,213.10,0
0.0,235.70,0
0.0,254.41,0
0.0,54.80,0
0.0,69.97,0
0.0,119.90,0
0.0,578.41,0
0.0,25.39,0
0.0,13.28,0
0.0,31.00,0
0.0,24.85,0
0.0,49.15,0
0.0,10.85,0
0.0,25.95,0
0.0,11.88,0
0.0,3.28,0
0.0,64.80,0
0.0,182.95,0
0.0,34.95,0
0.0,226.53,0
0.0,12.17,0
0.0,22.03,0
0.0,313.24,0
0.0,235.37,0
0.0,59.99,0
0.0,4.81,0
0.0,16.95,0
0.0,2.24,0
0.0,14.28,0
0.0,316.00,0
0.0,82.70,0
0.0,2.18,0
0.0,287.57,0
0.0,15.94,0
0.0,100.00,0
0.0,227.35,0
0.0,318.00,0
0.0,13.18,0
0.0,1.94,0
0.0,3.98,0
0.0,100.37,0
0.0,343.00,0
0.0,7.30,0
0.0,73.85,0
0.0,355.51,0
0.0,68.50,0
0.0,75.49,0
0.0,231.71,0
0.0,17.80,0
0.0,197.63,0
0.0,96.82,0
0.0,13.52,0
0.0,99.95,0
0.0,39.14,0
0.0,32.77,0
0.0,21.98,0
0.0,25.29,0
0.0,81.98,0
0.0,23.00,0
0.0,1.92,0
0.0,6.14,0
0.0,25.17,0
0.0,64.63,0
0.0,21.66,0
0.0,16.56,0
0.0,1.52,0
0.0,3.60,0
0.0,529.00,1
0.0,101.26,0
0.0,137.30,0
0.0,97.77,0
0.0,5.38,0
0.0,75.84,0
0.0,8.94,0
0.0,48.43,0
0.0,37.73,0
0.0,119.50,0
0.0,208.38,0
0.0,238.88,0
0.0,5.64,0
0.0,21.48,0
0.0,7.80,0
0.0,19.29,0
0.0,39.80,0
0.0,11.34,0
0.0,474.59,0
0.0,50.56,0
0.0,65.73,0
0.0,34.99,0
0.0,513.72,0
0.0,21.95,0
0.0,63.70,0
0.0,20.48,0
0.0,200.00,0
0.0,1015.61,0
0.0,151.00,0
0.0,185.00,0
0.0,6.56,0
0.0,17.43,0
0.0,215.65,0
0.0,3.79,0
0.0,52.95,0
0.0,16.47,0
0.0,850.15,0
0.0,192.00,0
0.0,124.11,0
0.0,83.88,0
0.0,410.49,0
0.0,20.80,0
0.0,7.55,0
0.0,2.98,0
0.0,22.89,0
0.0,5.29,0
0.0,50.00,0
0.0,75.55,0
0.0,6.74,0
0.0,21.29,0
0.0,7.02,0
0.0,88.00,0
0.0,1142.02,0
0.0,309.00,0
0.0,7.21,0
0.0,0.10,0
0.0,42.35,0
0.0,17.87,0
0.0,90.50,0
0.0,6.61,0
0.0,15.30,0
0.0,14.00,0
0.0,8.01,0
0.0,99.65,0
0.0,2.09,0
0.0,34.38,0
0.0,0.90,0
0.0,105.16,0
0.0,197.53,0
0.0,881.13,0
0.0,370.76,0
0.0,3.71,0
0.0,47.76,0
0.0,0.12,0
0.0,80.51,0
0.0,12.95,0
0.0,22.99,0
0.0,6.23,0
0.0,96.51,0
0.0,95.93,0
0.0,8.65,0
0.0,2.31,0
0.0,23.06,0
0.0,118.00,0
0.0,56.32,0
0.0,114.00,0
0.0,111.50,0
0.0,0.46,0
0.0,8.04,0
0.0,21.00,0
0.0,39.05,0
0.0,18.80,0
0.0,167.09,0
0.0,124.67,0
0.0,124.88,0
0.0,50.11,0
0.0,23.74,0
0.0,46.90,0
0.0,4.95,0
0.0,35.76,0
0.0,101.00,0
0.0,2.50,0
0.0,11.45,0
0.0,38.87,0
0.0,210.24,0
0.0,566.15,0
0.0,4.90,0
0.0,3.70,0
0.0,86.06,0
0.0,0.48,0
0.0,47.85,0
